artist_id;artist_name;artist_tag;genre;level;followers;popularity;spotify_url;imgurl
1P9syEkl41IFowWIJN7ZBY;Pete Seeger;american folk revival,appalachian folk,banjo,folk,old-time,traditional folk;folk;level_1,level_2;65916;47;https://open.spotify.com/artist/1P9syEkl41IFowWIJN7ZBY;https://i.scdn.co/image/797e516bcde6c6ec614ec6d68a1812a3eab50e05
1EevBGfUh3RSQSGpluxgBm;Joan Baez;american folk revival,folk,folk rock,folk-pop,singer-songwriter,traditional folk;folk;level_1,level_2;250726;56;https://open.spotify.com/artist/1EevBGfUh3RSQSGpluxgBm;https://i.scdn.co/image/9fdfc65eb148165bf8c50f6163c7d148e32f8a9f
6yrBBtqX2gKCHCrZOYBDrB;Peter, Paul and Mary;american folk revival,brill building pop,bubblegum pop,folk,folk rock,mellow gold,soft rock,traditional folk;folk;level_1,level_2;192386;55;https://open.spotify.com/artist/6yrBBtqX2gKCHCrZOYBDrB;https://i.scdn.co/image/4c84706befbfe8dc9293a69cd436739434650165
60ht0hWRy1yjUDfNsLuHuP;Lucinda Williams;alternative country,country rock,folk,folk rock,folk-pop,heartland rock,lilith,mellow gold,new americana,outlaw country,rock,roots rock,singer-songwriter,traditional folk;folk;level_1,level_2;98660;55;https://open.spotify.com/artist/60ht0hWRy1yjUDfNsLuHuP;https://i.scdn.co/image/a66ab113bca3d632589fd6a62ded01d08ff00244
3ZWab2LEVkNKiBPIClTwof;Townes Van Zandt;alternative country,country rock,folk,folk rock,folk-pop,new americana,outlaw country,roots rock,singer-songwriter,texas country,traditional country,traditional folk;folk;level_1,level_2;122081;57;https://open.spotify.com/artist/3ZWab2LEVkNKiBPIClTwof;https://i.scdn.co/image/72920ecdb9fc9b7723ef6f9cb5ffa2847560ad27
1FqG6mhiJbhbMg43ohCT6D;Bert Jansch;british folk,country rock,folk,folk rock,freak folk,new weird america,psychedelic rock,traditional folk;folk;level_1,level_2;30748;46;https://open.spotify.com/artist/1FqG6mhiJbhbMg43ohCT6D;https://i.scdn.co/image/c8007c1f2c4f11a6eccf7d0a8f9a3a82f42b737d
4js8BDiQwnHLlDmT1shPH7;John Fahey;drone folk,experimental,fingerstyle,folk,folk rock,fourth world,freak folk,new weird america,traditional blues,traditional folk;folk;level_1,level_2;27723;46;https://open.spotify.com/artist/4js8BDiQwnHLlDmT1shPH7;https://i.scdn.co/image/1f3b517ab122e6c8f089da29a89258eb885a9c98
3loACRmkzdtOMNJEaB6j8L;Loudon Wainwright III;alternative country,country rock,folk,folk rock,roots rock,singer-songwriter,traditional folk;folk;level_1,level_2;30662;47;https://open.spotify.com/artist/3loACRmkzdtOMNJEaB6j8L;https://i.scdn.co/image/3316a49c18991188d964c52d09c8686e397f46e2
3JhQGw54MOytJP3GZ8KNPo;Phil Ochs;american folk revival,folk,folk rock,traditional folk;folk;level_1,level_2;18756;40;https://open.spotify.com/artist/3JhQGw54MOytJP3GZ8KNPo;https://i.scdn.co/image/e85b5625969f8661e3276f74064bdc5a963874d4
3qtcbDvdIgQOXkPbtRvBaQ;The Kingston Trio;american folk revival,cowboy western,folk,folk rock,traditional folk;folk;level_1,level_2;32144;42;https://open.spotify.com/artist/3qtcbDvdIgQOXkPbtRvBaQ;https://i.scdn.co/image/fd99898c5805a42b96ef401e4686d2e467ce589e
4E5eAkpbJLO40r8fWNWm6X;The Weavers;american folk revival,folk,traditional folk;folk;level_1,level_2;7535;39;https://open.spotify.com/artist/4E5eAkpbJLO40r8fWNWm6X;https://i.scdn.co/image/05d381fc57003f14555843ee28173fe59e021e7f
23rleGXVOVVgTk3xgtmfE4;Gordon Lightfoot;album rock,brill building pop,canadian country,canadian folk,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock,traditional folk;folk;level_1,level_2;212277;60;https://open.spotify.com/artist/23rleGXVOVVgTk3xgtmfE4;https://i.scdn.co/image/2f3b8a363c27a9ee5cea734c3fd980fd68836741
01N1aZStXA4yGvkz4vRXtJ;Doc Watson;american folk revival,appalachian folk,bluegrass,country rock,folk,new americana,old-time,progressive bluegrass,traditional country,traditional folk,western swing;folk;level_1,level_2;37508;49;https://open.spotify.com/artist/01N1aZStXA4yGvkz4vRXtJ;https://i.scdn.co/image/1759df33843c3e9de5f08052a4cccf72ca2041b7
